Gender,Age,Time_spend_on_ins,When_do_you_go_on_ins,interested_topic,post_you_like, theme_you_like,,,,,,
Female,19-25,2,"Morning, when I wake up., After dinner when am boring, Bed time, Anytime","Friends, Ins celebrities","People only, Nice place, Nice filter","Happiness, Excitement",,,,,,
Male,19-25,0.5,Anytime,"Travel, food","People only, Food",Happiness,,,,,,
Male,19-25,3,"Morning, when I wake up., lunch time, After school/ work but before dinner., Dinner time, After dinner when am boring, Bed time, Anytime","Celebrities, Sports, Friends","People only, Good body, Beautiful face, Nice place, Just because we are friends","Happiness, Excitement",,,,,,
Male,19-25,0.5,"After school/ work but before dinner., After dinner when am boring","Celebrities, Sports, Friends","People only, Celebrities, Good body, Food","Happiness, Excitement",,,,,,
Male,19-25,1,Anytime,"Fashion, High Street products, memes","I gave Random likes, funny memes",Depend I am feeling at that time,,,,,,
Female,19-25,1,"Morning, when I wake up., After school/ work but before dinner., Bed time, Anytime","Celebrities, Fashion, Friends","People only, Celebrities",Happiness,,,,,,
Prefer not to say,30+,0.5,Anytime,"Celebrities, Fashion, Friends, Tech","People only, product only, I gave Random likes","Excitement, Life philosophy",,,,,,
Male,19-25,0.5,Anytime,"Celebrities, Friends","Celebrities, Food, Nice place","Happiness, Excitement",,,,,,
Female,15-18,0.5,"Morning, when I wake up., After school/ work but before dinner., Anytime","Celebrities, Friends, Knowledge","People only, Nice place, Good caption, Just because we are friends","Happiness, Excitement, Life philosophy",,,,,,
Female,15-18,2,"After dinner when am boring, Anytime","Celebrities, Fashion, Friends","Beautiful face, Food, Nice filter, Good caption","Happiness, Excitement",,,,,,
Prefer not to say,19-25,1,Anytime,"Celebrities, Sports, Fashion, Friends, High Street products, Travel",Beautiful face,Happiness,,,,,,
Female,19-25,3,"Morning, when I wake up., lunch time, After school/ work but before dinner., Dinner time, After dinner when am boring, Bed time, Anytime","Friends, Food","People only, Food","Happiness, Excitement",,,,,,
Female,19-25,0.5,"Morning, when I wake up., After school/ work but before dinner., After dinner when am boring, Bed time","Celebrities, Fashion, Friends, Travel","People only, Nice place, Nice filter, Just because we are friends","Happiness, Excitement",,,,,,
Male,19-25,1,Anytime,"Celebrities, Sports, Fashion, Friends, High Street products, Ins celebrities, Travel","People only, Celebrities, Food, Nice place, Good caption, I gave Random likes, Just because we are friends","Happiness, Excitement",,,,,,
Female,19-25,4,"Morning, when I wake up., lunch time, After school/ work but before dinner., Dinner time, After dinner when am boring, Bed time, Anytime","Celebrities, Fashion, Friends, High Street products, Ins celebrities, Travel","People only, product only, Celebrities, Good body, Beautiful face, Food, Nice place, Nice filter, Good caption, I gave Random likes, Just because we are friends","Happiness, Excitement, Life philosophy",,,,,,
Female,19-25,0.5,Anytime,Celebrities,I gave Random likes,Happiness,,,,,,
Female,19-25,1,Anytime,Friends,Celebrities,Happiness,,,,,,
Male,19-25,0.5,Bed time,Friends,I gave Random likes,Happiness,,,,,,
Female,19-25,1,Anytime,Friends,Good caption,Happiness,,,,,,
Female,19-25,4,Anytime,Fashion,Food,Happiness,,,,,,
Female,19-25,1,Anytime,Fashion,Beautiful face,Happiness,,,,,,
Female,19-25,2,Anytime,Friends,Just because we are friends,Happiness,,,,,,
Female,19-25,0.5,"Morning, when I wake up.",Celebrities,Good body,Happiness,,,,,,
Male,19-25,0.5,Anytime,Friends,People only,Excitement,,,,,,
Female,19-25,1,Anytime,Travel,People only,Happiness,,,,,,
Female,19-25,0.5,Anytime,Friends,Good caption,Happiness,,,,,,
Male,19-25,2,Anytime,"Celebrities, Sports, Fashion, Friends, High Street products","Celebrities, Just because we are friends","Happiness, Excitement",,,,,,
Female,19-25,0.5,Anytime,"Celebrities, Fashion, Friends, Travel","Celebrities, Beautiful face, Nice place, Just because we are friends","Happiness, Excitement, Depress",,,,,,
Male,19-25,1,Anytime,"Sports, Fashion, Friends","People only, product only","Happiness, Excitement",,,,,,
Female,19-25,2,Anytime,"Celebrities, Fashion, Friends, Social justice activists","People only, Celebrities, Food, Nice place, Just because we are friends","Happiness, Excitement, Life philosophy, Silly/Funny/Memes",,,,,,
Female,19-25,0.5,"lunch time, After school/ work but before dinner., Dinner time","Celebrities, Sports, Fashion, Friends",People only,"Happiness, Excitement, Life philosophy",,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,